Link,Scenario No,Start Day,End Day,Start Time in Min,End Time in min,Toll for Demand Type 1,Toll for Demand Type 2,Toll for Demand Type 3,Toll for Demand Type 4,Toll for Demand Type 5,Toll for Demand Type 6,Toll for Demand Type 7,
"[15419,15417]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15421,15424]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15422,15419]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15424,15426]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15425,15422]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15426,15429]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15427,15425]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15429,15433]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15430,15427]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15433,15436]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15434,15430]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15436,15438]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15437,15434]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15438,15441]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15439,15437]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15441,15445]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15442,15439]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15445,15448]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15446,15442]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15448,15450]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15449,15446]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15450,15453]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15451,15449]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15453,15457]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15454,15451]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15457,15460]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15458,15454]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15460,15462]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15461,15458]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15462,15465]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15463,15461]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15465,15469]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15466,15463]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15470,15466]",0,1,100,300,1440,9.00,0.00,9.00,0.00,0.00,0.00,0.00,
"[15976,7325]",0,1,100,960,1140,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
"[15976,7325]",0,1,100,540,960,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
"[15976,7325]",0,1,100,1140,1440,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
